inventory_id,nsn,mpn,cage_code,part_name,category_section,quantity,uom,storage_location,unit_price,total_value,condition,photo_url
INV-HMMWV-00112,5305-00-226-7237,MS16995-78,96906,"SCREW,CAP,SOCKET HE #8-18 X 3/8",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00113,5330-01-188-0911,12338379,12436,GASKET ons is sete ie sues eis a saner ei aleke eae is.she ie tees,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00114,4720-01-214-5757,12340799,12436,"TUBING, NONMETALLIC",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00115,2910-01-210-6856,12338578,12436,"SHIELD,FUEL TANK",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00116,4710-01-358-2127,12342748,12436,"TUBE ASSEMBLY,METAL AUX FUEL RETURN",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00117,4710-01-358-6397,12342747,12436,"TUBE ASSEMBLY,METAL AUX FUEL SUPPLY",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00118,4730-01-357-8739,12342757,12436,"CAP, TUBE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00119,5340-01-049-9564,MS21334-25,96906,"CLAMP, LOOP",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00120,4710-01-412-0273,12342949,12436,"TUBE ASSEMBLY,METAL",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00121,5340-01-187-0892,12339890,12436,"CLIP,SPRING TENSION 3/8 X 1/4",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00122,5340-01-017-4630,30H-18,12436,"CLAMP, LOOP",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00123,5305-01-211-1450,9415857,12436,"SCREW,MACHINE 1/4-20 X 5/8",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00124,4710-01-413-1360,12342950,12436,"TUBE ASSEMBLY,METAL",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00125,4730-01-118-8278,MMF4-SS,12436,"CLAMP, HOSE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00126,5355-01-247-3593,5596249,12436,KNOB 5.055 sc pesca 6 a See ates ate See SSS,Hardware,0,EA,,0.0,0.0,NOS,
